brand,modelKey,material,bowTypes,tier,title,price,url,shop
skylon,brixxon,carbon,recurve,eco,"Skylon Brixxon carbone 4,2 lot de 12 tubes","67,50 EUR",https://www.erhart-sports.com/tubes-nus/skylon-tubes-brixxon-carbone-42-lot-de-12-tubes,erhart-sports.com
skylon,paragon,carbon,recurve,premium,Skylon Paragon lot de 12 tubes,"144,90 EUR",https://www.erhart-sports.com/tubes-nus/2690-skylon-douzaine-de-tubes-paragon.html,erhart-sports.com
skylon,premiens,carbon,recurve,premium,Skylon Preminens lot de 12 tubes,"179,90 EUR",https://www.erhart-sports.com/tubes-nus/2689-skylon-preminens-lot-de-12-tubes.html,erhart-sports.com
easton,avance,carbon,recurve,mid,Easton Avance tube carbone competition,"13,90 EUR",https://www.erhart-sports.com/tubes-nus/easton-avance-tube-carbone-competition,erhart-sports.com
easton,avance,carbon,recurve,mid,Easton Tube Avance,"12,90 EUR",https://www.heraclesarcherie.fr/tubes-carbone/easton-tube-avance-detail,heraclesarcherie.fr
easton,avance,carbon,recurve,mid,Tubes Easton Avance Sport 4mm en carbone,"103,95 EUR",https://www.archerie.fr/fr/4838-tubes-easton-avance-sport-4mm-en-carbone.html,archerie.fr
easton,x7,alu,compound|recurve,mid,Easton X7 lot de 12 tubes,"139,90 EUR",https://www.erhart-sports.com/tubes-nus/easton-x7-lot-de-12-tubes,erhart-sports.com
easton,x23,alu,recurve,premium,Easton X23 tube aluminium,"12,50 EUR",https://www.erhart-sports.com/tubes-nus/easton-x23-tube-aluminium,erhart-sports.com
easton,rx7,alu,recurve,mid,Easton RX7 douzaine de tubes aluminium,"169,90 EUR",https://www.erhart-sports.com/tubes-nus/easton-rx7-tube-aluminium,erhart-sports.com
victory,vap target,carbon,compound|recurve,premium,Victory VAP Target V1 lot de 12 tubes,"170,94 EUR",https://www.erhart-sports.com/tubes-nus/2143-443507-victory-vap-target-v1-lot-de-12-tubes.html,erhart-sports.com
victory,vap target,carbon,compound|recurve,premium,Victory VAP Target V1 unite,"15,90 EUR",https://www.erhart-sports.com/tubes-nus/victory-vap-target-v1-2017-unit2,erhart-sports.com
victory,vap target,carbon,compound|recurve,premium,Tube VAP Target Elite Victory,"259,90 EUR",https://www.archerie.fr/fr/2375-tube-vap-target-elite-victory.html,archerie.fr
victory,v-tac 23 elite,carbon,recurve,premium,Victory V-TAC 23 Elite lot de 12 tubes,"169,90 EUR",https://www.erhart-sports.com/tubes-nus/victory-v-tac-23-elite-lot-de-12-tubes,erhart-sports.com
victory,vap gamer v3,carbon,recurve,mid,Victory VAP Gamer V3 tube carbone,"12,70 EUR",https://www.erhart-sports.com/tubes-nus/3949-victory-vap-gamer-v3-tube-carbone.html,erhart-sports.com
